rec;send;queue;id_1;id_2;packet_id
1587490022957;1587490020884;19;0;9;46
1587490023304;1587490020883;19;0;10;46
1587490023510;1587490020885;18;0;2;67
1587490023580;1587490020884;19;0;3;66
1587490023763;1587490020887;19;0;19;41
1587490024399;1587490020885;19;0;6;48
1587490024998;1587490020883;19;0;13;44
1587490025380;1587490020884;19;0;11;45
1587490025598;1587489769451;19;0;18;3
1587490025784;1587490020886;19;0;20;40
1587490026995;1587490020883;19;0;17;42
1587490027550;1587490027460;6;0;7;48
1587490027667;1587490027466;19;0;15;44
1587490027823;1587490027466;19;0;5;50
1587490028588;1587490027461;18;0;8;48
1587490028860;1587490027461;18;0;14;44
1587490029117;1587490027461;18;0;12;45
1587490029300;1587490027459;12;0;4;50
1587490029455;1587490027460;19;0;9;47
1587490029760;1587490027459;19;0;10;47
1587490029968;1587490027460;19;0;2;68
1587490030039;1587490027460;19;0;3;67
1587490030303;1587490027461;18;0;16;44
1587490030366;1587490027462;19;0;19;42
1587490030963;1587490027460;18;0;6;49
1587490032043;1587490027460;19;0;11;46
1587490032292;1587490027461;17;0;18;41
1587490032476;1587490027461;19;0;20;41
1587490034371;1587490034195;5;0;7;49
1587490034454;1587490034199;19;0;15;45
1587490034731;1587490034197;19;0;16;45
1587490034787;1587490034198;17;0;5;51
1587490035375;1587490034196;19;0;8;49
1587490035735;1587490034197;19;0;14;45
1587490036011;1587490034196;19;0;12;46
1587490036191;1587490027459;18;0;13;45
1587490036341;1587490034195;19;0;9;48
1587490036680;1587490034193;19;0;10;48
1587490036921;1587490034195;19;0;2;69
1587490036994;1587490034195;18;0;3;68
1587490037158;1587490034199;19;0;19;43
1587490037815;1587490034196;19;0;6;50
1587490038416;1587490034193;18;0;13;46
1587490038702;1587490034194;19;0;11;47
1587490039105;1587490034198;19;0;20;42
1587490040364;1587490027459;19;0;17;43
1587490040899;1587490040739;5;0;7;50
1587490040984;1587490040738;19;0;15;46
1587490041163;1587490040741;19;0;5;52
1587490041312;1587490040741;19;0;16;46
1587490042024;1587490040740;18;0;8;50
1587490042348;1587490040740;18;0;14;46
1587490042611;1587490040740;18;0;12;47
1587490042781;1587490040738;10;0;4;52
1587490042947;1587490040739;19;0;9;49
1587490043272;1587490040739;19;0;11;48
1587490043494;1587490040740;18;0;2;70
1587490043575;1587490040739;19;0;3;69
1587490043760;1587490040741;19;0;19;44
1587490044455;1587490040740;19;0;6;51
1587490045092;1587490040739;19;0;13;47
1587490045434;1587490040738;18;0;10;49
1587490045809;1587490040741;18;0;20;43
1587490047123;1587490040738;19;0;17;45
1587490047483;1587490047449;18;0;15;47
1587490047988;1587490047448;18;0;16;47
1587490048065;1587490047449;18;0;5;53
1587490048759;1587490047447;18;0;8;51
1587490049118;1587490047448;18;0;14;47
1587490049404;1587490047447;19;0;12;48
1587490049584;1587490047445;10;0;4;53
1587490049748;1587490047446;19;0;9;50
1587490050064;1587490047445;19;0;10;50
1587490050268;1587490040741;19;0;18;43
1587490050348;1587490047447;19;0;3;70
1587490050526;1587490047449;19;0;19;45
1587490051237;1587490047447;18;0;6;52
1587490051951;1587490047445;19;0;13;48
1587490052302;1587490047446;19;0;11;49
1587490052709;1587490047448;19;0;20;44
1587490054097;1587490047445;19;0;17;46
1587490054416;1587490054351;19;0;15;48
1587490054667;1587490054349;4;0;7;52
1587490054850;1587490054351;19;0;5;54
1587490054962;1587490054350;19;0;16;48
1587490055503;1587490054349;18;0;8;52
1587490055824;1587490054350;18;0;14;48
1587490056077;1587490054350;19;0;12;49
1587490056221;1587490054347;9;0;4;54
1587490056579;1587490054350;19;0;10;51
1587490056814;1587490054349;19;0;2;72
1587490056864;1587490054349;19;0;3;71
1587490056987;1587490054351;18;0;20;45
1587490057678;1587490054349;18;0;6;53
1587490058331;1587490054348;18;0;13;49
1587490058466;1587490054348;18;0;9;51
1587490058717;1587490054348;18;0;11;50
1587490060681;1587490060571;19;0;15;49
1587490060939;1587490054351;18;0;18;45
1587490061134;1587490054351;18;0;19;46
1587490061263;1587490060569;18;0;16;49
1587490061334;1587490060570;17;0;5;55
1587490061944;1587490060568;19;0;8;53
1587490062268;1587490060568;19;0;14;49
1587490062495;1587490060568;18;0;12;50
1587490062628;1587490060565;10;0;4;55
1587490062745;1587490060566;19;0;9;52
1587490063059;1587490060566;19;0;11;51
1587490063354;1587490060567;19;0;3;72
1587490063517;1587490060570;19;0;19;47
1587490064245;1587490060567;19;0;6;54
1587490064974;1587490060566;18;0;13;50
1587490065343;1587490060568;18;0;10;52
1587490065557;1587490060569;19;0;18;46
1587490065726;1587490060569;19;0;20;46
1587490067163;1587490060565;18;0;17;48
1587490067553;1587490067395;18;0;15;50
1587490067778;1587490067394;4;0;7;53
1587490067855;1587490067392;19;0;3;73
1587490068033;1587490067396;17;0;5;56
1587490068165;1587490067394;19;0;16;50
1587490068893;1587490067393;18;0;8;54
1587490069259;1587490067394;18;0;14;50
1587490069558;1587490067393;18;0;12;51
1587490069725;1587490067391;9;0;4;56
1587490069905;1587490067392;19;0;9;53
1587490070216;1587490067393;19;0;10;53
1587490070434;1587490067392;17;0;2;74
1587490070649;1587490067395;19;0;19;48
1587490072048;1587490067391;19;0;13;51
1587490072445;1587490067392;18;0;11;52
1587490072632;1587490067394;18;0;18;47
1587490072791;1587490067395;19;0;20;47
1587490073526;1587490067393;19;0;6;55
1587490074248;1587490067391;18;0;17;49
1587490074598;1587490074429;19;0;15;51
1587490074851;1587490074429;3;0;7;54
1587490074917;1587490074427;19;0;3;74
1587490075065;1587490074430;15;0;5;57
1587490075204;1587490074428;18;0;16;51
1587490075833;1587490074428;19;0;8;55
1587490076125;1587490074428;19;0;14;51
1587490076384;1587490074428;19;0;12;52
1587490076555;1587490074425;9;0;4;57
1587490076711;1587490074427;19;0;9;54
1587490077029;1587490074426;19;0;11;53
