rec;send;queue;id_1;id_2;mes_id
1587114202906;1587114202620;18;0;5;55
1587114203315;1587114202620;19;0;3;60
1587114203349;1587114202621;18;0;4;59
1587114206843;1587114206668;19;0;2;61
1587114206860;1587114206667;19;0;5;56
1587114206915;1587114206669;19;0;4;60
1587114207311;1587114206668;19;0;3;61
1587114207342;1587114206668;19;0;3;61
1587114210527;1587114210388;19;0;2;62
1587114210543;1587114210387;19;0;5;57
1587114210569;1587114210389;19;0;4;61
1587114210591;1587114210389;19;0;4;61
1587114210932;1587114210388;19;0;3;62
1587114214459;1587114214276;19;0;2;63
1587114214482;1587114214275;18;0;5;58
1587114214521;1587114214275;18;0;5;58
1587114214547;1587114214276;19;0;3;63
1587114214927;1587114214276;18;0;4;62
1587114218895;1587114218200;17;0;2;64
1587114218924;1587114218199;18;0;3;64
1587114218942;1587114218199;16;0;5;59
1587114219375;1587114218201;18;0;4;63
1587114222459;1587114222184;19;0;2;65
1587114222504;1587114222183;19;0;5;60
1587114222837;1587114222184;19;0;3;65
1587114222869;1587114222185;19;0;4;64
1587114226329;1587114226086;19;0;2;66
1587114226345;1587114226086;19;0;5;61
1587114226389;1587114226087;19;0;4;65
1587114226411;1587114226086;19;0;3;66
1587114226766;1587114226086;19;0;3;66
1587114230299;1587114230013;19;0;2;67
1587114230344;1587114230012;18;0;5;62
1587114230367;1587114230012;19;0;3;67
1587114230784;1587114230013;19;0;4;66
1587114230805;1587114230013;19;0;4;66
1587114234237;1587114233955;19;0;2;68
1587114234254;1587114233955;19;0;3;68
1587114234299;1587114233956;19;0;4;67
1587114234322;1587114233955;18;0;5;63
1587114238061;1587114237655;18;0;5;64
1587114238408;1587114237657;18;0;2;69
1587114238431;1587114237656;18;0;3;69
1587114238921;1587114237658;18;0;4;68
1587114241864;1587114241575;19;0;2;70
1587114241921;1587114241574;19;0;5;65
1587114241946;1587114241575;19;0;3;70
1587114242303;1587114241575;19;0;4;69
1587114242339;1587114241575;19;0;4;69
1587114245730;1587114245441;19;0;2;71
1587114245766;1587114245440;19;0;5;66
1587114245790;1587114245441;19;0;3;71
1587114246222;1587114245441;19;0;4;70
1587114249625;1587114249290;19;0;2;72
1587114249648;1587114249290;19;0;5;67
1587114249694;1587114249290;19;0;3;72
1587114250130;1587114249290;19;0;4;71
1587114250159;1587114249290;19;0;3;72
1587114253635;1587114253312;19;0;2;73
1587114253652;1587114253312;19;0;5;68
1587114253695;1587114253312;19;0;3;73
1587114254042;1587114253313;19;0;4;72
1587114258042;1587114257163;18;0;2;74
1587114258063;1587114257162;18;0;3;74
1587114258117;1587114257161;18;0;5;69
1587114259345;1587114257164;18;0;4;73
1587114261681;1587114261290;19;0;2;75
1587114261707;1587114261289;18;0;5;70
1587114261749;1587114261290;19;0;4;74
1587114261769;1587114261289;19;0;3;75
1587114265588;1587114265214;19;0;2;76
1587114265606;1587114265213;19;0;5;71
1587114265656;1587114265213;19;0;5;71
1587114265679;1587114265213;19;0;3;76
1587114266100;1587114265214;19;0;4;75
1587114266123;1587114265214;19;0;4;75
1587114266488;1587114265214;19;0;4;75
1587114266511;1587114265214;19;0;4;75
1587114269186;1587114269137;19;0;5;72
1587114269641;1587114269138;19;0;2;77
1587114269673;1587114269138;19;0;3;77
1587114270075;1587114269138;19;0;3;77
1587114270096;1587114269141;19;0;4;76
1587114273078;1587114273038;19;0;2;78
1587114273128;1587114273037;18;0;5;73
1587114273160;1587114273037;19;0;3;78
1587114273535;1587114273038;19;0;4;77
1587114277360;1587114276854;18;0;2;79
1587114277412;1587114276852;18;0;5;74
1587114278282;1587114276853;18;0;3;79
1587114278326;1587114276855;18;0;4;78
1587114278349;1587114276853;18;0;3;79
1587114280815;1587114280759;19;0;2;80
1587114280845;1587114280759;19;0;5;75
1587114280882;1587114280760;19;0;4;79
1587114280908;1587114280759;19;0;3;80
1587114284757;1587114284671;19;0;2;81
1587114284780;1587114284671;19;0;5;76
1587114284816;1587114284672;19;0;4;80
1587114284842;1587114284669;19;0;3;81
1587114285272;1587114284669;19;0;3;81
1587114288567;1587114288449;19;0;2;82
1587114288591;1587114288448;19;0;5;77
1587114288627;1587114288448;19;0;5;77
1587114288655;1587114288449;19;0;3;82
1587114289030;1587114288449;19;0;4;81
1587114289065;1587114288449;19;0;4;81
1587114289096;1587114288449;19;0;4;81
1587114292566;1587114292472;19;0;2;83
1587114292605;1587114292472;19;0;5;78
1587114292635;1587114292472;19;0;3;83
1587114293510;1587114292473;18;0;4;82
1587114296702;1587114296489;17;0;5;79
1587114297098;1587114296487;18;0;2;84
1587114297120;1587114296488;18;0;3;84
1587114297153;1587114296486;18;0;4;83
1587114300582;1587114300405;19;0;2;85
1587114300608;1587114300405;19;0;3;85
1587114300639;1587114300405;19;0;3;85
1587114300663;1587114300406;16;0;5;80
1587114301115;1587114300404;19;0;4;84
1587114304644;1587114304450;19;0;2;86
1587114304661;1587114304451;17;0;5;81
1587114304693;1587114304451;19;0;3;86
1587114305079;1587114304450;18;0;4;85
1587114305103;1587114304450;18;0;4;85
1587114308433;1587114308266;19;0;2;87
1587114308452;1587114308267;19;0;5;82
1587114308502;1587114308266;19;0;4;86
1587114308935;1587114308267;19;0;3;87
1587114312103;1587114311930;19;0;2;88
1587114312127;1587114311931;19;0;5;83
1587114312157;1587114311929;19;0;4;87
1587114312174;1587114311930;19;0;3;88
1587114312550;1587114311930;19;0;3;88
1587114316109;1587114315814;18;0;5;84
1587114316515;1587114315813;18;0;2;89
1587114316560;1587114315813;18;0;3;89
1587114316581;1587114315813;18;0;3;89
1587114316965;1587114315812;17;0;4;88
1587114319971;1587114319725;19;0;2;90
1587114319997;1587114319725;19;0;3;90
1587114320034;1587114319725;19;0;4;89
1587114320381;1587114319725;17;0;5;85
1587114323871;1587114323641;19;0;2;91
1587114323893;1587114323642;19;0;3;91
1587114323919;1587114323642;19;0;3;91
1587114324327;1587114323642;17;0;5;86
1587114324347;1587114323641;19;0;4;90
1587114327910;1587114327663;19;0;2;92
1587114327926;1587114327663;19;0;3;92
